Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,Rn,SM,lambdaE_SVAT (W m-2),Eta_SVAT (mm),Tk,ra,esat(T),e,D,delta,LH,psy_const,PET (mm),lambdaETa Typ Hydro (mm)
65.5,17.5,301.3592112,302.1912114,20.51046014,4.579395833,0.002448251,0,103.2558001,27.17539131,166.0353786,5.811238251,293.68046014000004,45.42083881483062,2.413197234977287,0.3983327993569132,2.014864435620374,0.14878656077486843,2452574.80360946,0.06720124374100957,7.7364823422074736,5.256048375309835
66.5,18.5,98.9429265,294.2108598,18.68542799,3.759474596,0.002342279,0,-39.42056048,27.0498447,85.6815,2.9988525,291.85542799,55.32688004363895,2.154637595755462,0.381091052733119,1.773546543022343,0.13474594361333023,2456883.70451561,0.0670833857001435,4.227464454514663,2.858806424234796
67.5,19.5,0.0,280.6987996,15.50884508,3.726158627,0.002446732,0,-102.8941027,27.0498103,0.023554764,0.000824417,288.67884508000003,55.821563390462714,1.7620220020740136,0.3980856565916399,1.3639363454823736,0.11297926677218627,2464383.61676612,0.0668792293736709,2.49760633727422,1.6889944406836366
68.5,20.5,0.0,279.4676672,15.21375592,3.233206304,0.002252136,0,-79.31712857,27.0497759,0.023551356,0.000824297,288.38375592,64.33242436236448,1.7289568699209519,0.36642469967845664,1.3625321702424953,0.11111841303761598,2465080.32227288,0.06686032730099947,2.45347124619572,1.6591461846671989
69.5,21.5,0.0,270.7066591,13.08518182,3.241539696,0.00247015,0,-78.42134474,27.04974821,0.018997081,0.000664898,286.25518182,64.16703773724201,1.5061370020224898,0.4018957877813505,1.1042412142411393,0.09845078561985948,2470105.88572298,0.06672429636439561,2.01815398869283,1.364763931078706
70.5,22.5,0.0,274.3323566,13.972258,3.459172446,0.002422985,0,-70.42654559,27.04971761,0.020978019,0.000734231,287.142258,60.12998867417551,1.5957291763059216,0.39422199678456593,1.2015071795213557,0.10357192660315044,2468011.4988619997,0.0667809194756243,2.483330637525012,1.679334811932821
71.5,23.5,0.0,269.9633711,12.90222699,3.131887176,0.002010511,0,-73.62882408,27.04968823,0.020162159,0.000705676,286.07222699,66.4136312425068,1.4882184736845707,0.3271120790996785,1.1611063945848923,0.09742183454144078,2470537.84207661,0.06671263008539141,2.1811447408187594,1.47498213059129
72.5,0.5,0.0,270.6615497,13.07408924,2.425770143,0.002163856,0,-72.79202762,27.04965972,0.019567224,0.000684853,286.24408924,85.74596426632662,1.5050452307458912,0.35206145852090037,1.152983772224991,0.09838813784054813,2470132.07530436,0.06672358891987992,1.5289557890054934,1.033943345488068
73.5,1.5,0.0,269.2539223,12.72724867,2.380414938,0.002410889,0,-67.7415153,27.04963316,0.018230625,0.000638072,285.89724867,87.37972387904752,1.4712565255903483,0.39225396591639866,1.0790025596739496,0.09644632245203538,2470950.96589013,0.06670147625169284,1.4305919784885648,0.9674247054938572
74.5,2.5,0.0,268.8878222,12.63681855,2.29521071,0.002017928,0,-65.50989792,27.04960516,0.019217698,0.000672619,285.80681855,90.6234878975447,1.4625571743223489,0.3283188321543408,1.134238342168008,0.09594543845327987,2471164.47140345,0.06669571332773894,1.521431094348357,1.028852759506744
75.5,3.5,0.0,262.1924706,10.9664812,2.191460233,0.002000658,0,-71.80522145,27.04958128,0.016420175,0.000574706,284.1364812,94.91388292967487,1.309792207123921,0.3255089864951769,0.9842832206287441,0.08708396179763553,2475108.1378868,0.06658944498123417,1.1509113949657006,0.7782917831050726
