Total Hour, Hour,SW_in,LW_down,Ta,um,q,p,ra,e,esat(T),D,Tk,gR,gD,gT,gSM,SM,gs,rs,LW_up,Rn,LH,delta,psy_const,Cinterim,Cactual,Cfinal,Dcanopy,lambdaEi (C=Cactual),lambdaET,lambdaE,H,Ts
20.5,20.5,0.0,274.0283627743941,13.898220659485103,3.847658285607648,0.002475947558665807,0,9.449198348210118,0.40283905616877763,1.588076813570444,1.1852377574016664,287.0682206594851,0.0,0.6628229907675286,0.9120349846386021,0.9714375728637208,35.572606661371324,0.0001,1000000.0,-334.34671179876443,-60.31834902437032,2468186.3010229557,0.10313601368150709,0.06677618991001974,0.0,0.0,0.0,0.0,919.8150203792186,0.02123476788985405,919.8362551471084,-980.1546041714787,279.63503478582027
21.5,21.5,0.0,276.19628197022314,14.424874646126078,3.507025565728604,0.002078406146473044,0,10.366986392152901,0.33815868492455314,1.6432181394554763,1.305059454530923,287.5948746461261,0.0,0.6317071708763571,0.9269615497722731,0.9714374843994579,35.57257244936812,0.0001,1000000.0,-330.4271380249413,-54.230856054718174,2466942.8709604964,0.10627103443585843,0.06680984756904702,0.0,0.0,0.0,0.0,906.2399970498238,0.02344418261431581,906.2634412324381,-960.4942972871563,279.6032926031591
22.5,22.5,0.0,272.6487277091141,13.561435835999358,2.9862392390242243,0.002035323531224657,0,12.174940922925108,0.33114910186484775,1.553672233502556,1.222523131637708,286.7314358359994,0.0,0.6530820919276197,0.901762758304518,0.9714373866812032,35.57254070252294,0.0001,1000000.0,-329.2868612285114,-56.638133519397286,2468981.4499912057,0.1011727491136489,0.06675468427314636,0.0,0.0,0.0,0.0,745.0460717892813,0.021772881064831377,745.0678446703462,-801.7059781897435,278.8977269603134
23.5,23.5,0.0,269.7788904482391,12.856759928793041,3.0955206198304084,0.0021927205314559695,0,11.745128132544192,0.35675774563238605,1.4837945875204455,1.1270368418880594,286.02675992879307,0.0,0.6781337183568529,0.8784348072732848,0.9714372960037729,35.572511470684184,0.0001,1000000.0,-327.55687665455974,-57.777986206320634,2470645.1898081196,0.09716754948521325,0.06670973147027166,0.0,0.0,0.0,0.0,729.5854447384069,0.020061528283908454,729.6055062666908,-787.3834924730114,278.6046136767801
24.5,0.5,0.0,265.69332199518436,11.843802584848534,2.411089447796404,0.0024674783248215264,0,15.079194324403526,0.4014611036526342,1.3881832336976825,0.9867221300450483,285.0138025848486,0.0,0.7155750967526623,0.8405516271155719,0.9714372125096151,35.57248641415183,0.0001,1000000.0,-325.21770604370994,-59.524384048525576,2473036.7820971725,0.09164706717794732,0.06664521868965147,0.0,0.0,0.0,0.0,515.0762637200677,0.017212701706181034,515.0934764217739,-574.6178604702994,278.0596742368645
25.5,1.5,0.0,270.9902069554572,13.154875768886653,2.3352274165732876,0.0020462589950241963,0,15.5690559552403,0.3329283123737117,1.513012448403007,1.1800841360292953,286.32487576888667,0.0,0.6641735430330585,0.8886067912480092,0.9714371409410846,35.57245605592384,0.0001,1000000.0,-323.26792907359714,-52.277722118139934,2469941.338309658,0.09884517478186157,0.06672874153489508,0.0,0.0,0.0,0.0,570.3918718992655,0.020828622858290305,570.4127005221238,-622.6904226402637,278.5441535858206
26.5,2.5,0.0,265.71515689178,11.849247180343216,2.238834361221276,0.0023051170087528268,0,16.23938195097559,0.3750447609096239,1.388682314516983,1.0136375536073592,285.01924718034326,0.0,0.7083350317541199,0.8407689610788524,0.9714370542291741,35.57243033712976,0.0001,1000000.0,-323.12712053341266,-57.41196364163267,2473023.9274072098,0.09167600933300821,0.06664556510911562,0.0,0.0,0.0,0.0,491.2331335992863,0.017667553647958734,491.2508011529343,-548.662764794567,277.86835174797443
27.5,3.5,0.0,262.49325954707354,11.04220341783844,2.207183468369386,0.0023784680667895777,0,16.472253819344093,0.3869790488088509,1.3164012807508754,0.9294222319420244,284.21220341783845,0.0,0.7310800628131323,0.8069365780763745,0.9714369807686277,35.57240693756017,0.0001,1000000.0,-322.6844623960838,-60.19120284901027,2474929.357730483,0.0874700127956123,0.06659425516757164,0.0,0.0,0.0,0.0,456.32331947460085,0.016086744926604887,456.33940621952746,-516.5306090685377,277.38355848646876
28.5,4.5,0.0,260.0215370274312,10.418017833014291,2.3048536602262777,0.002301629722466132,0,15.77422764153773,0.3744773760668369,1.2627863126709666,0.8883089366041297,283.5880178330143,0.0,0.7422819190326966,0.7785364792208581,0.9714369139323138,35.57238450524434,0.0001,1000000.0,-319.99921522090364,-59.97767819347246,2476403.059896253,0.08433087907520759,0.06655462506871675,0.0,0.0,0.0,0.0,465.03213600885044,0.01543095988076985,465.0475669687312,-525.0252451622036,276.9412006557153
29.5,5.5,98.94292650391611,266.9568321226208,12.158311932977485,2.1916861393803444,0.0023609256664384654,0,16.588728497010095,0.38412488334979533,1.4172725446034122,1.0331476612536168,285.3283119329775,0.3971711697387962,0.7031041557042621,0.8528630055057614,0.9714368498586252,35.48292134733687,3.4704236162716584,288.14926088888217,-317.8670041710706,36.159603274996385,2472294.22552624,0.09333174155465647,0.06666523566196336,0.0,0.0,0.0,0.0,485.01154532456854,61.43868019221306,546.4502255167816,-510.2906222417853,278.5344591838067
