Total Hour,Hour,SR_down,LW_down,Ta,wind_speed,q,precip,ra,e,e_sat,VPD,gR,gD,gT,Lambda,delta,psy_const,gSM,gS,rs,LW_up,Rn,Cinterim,Cactual,Dcanopy,lambdaEi,Cfinal,lambdaEt,lambdaET,H,Ts,SMlast,SMnew
20.5,20.5,0,274.0,13.9,3.85,2.48,0,9.443450991387213,0.40349839228295825,1.588260344620149,1.1847619523371908,0.0,0.6629476374228932,0.9120877499999998,2468182.1,0.10314647165347368,0.06677630356788425,0.9716907427078246,0.0001,1000000.0,-372.10406879572116,-98.10406879572116,0.0,0.0,0.0,0.0,0.0,0.020675137405094267,0.020675137405094267,-98.12474393312625,286.3263052589709,35.66167017023886,35.66164001424078
21.5,21.5,0,276.2,14.42,3.51,2.08,0,10.358201229869165,0.3384180064308682,1.6427001557783878,1.3042821493475196,0.0,0.6319072667273367,0.9268297500000009,2466954.38,0.10624164982769861,0.06680953588222334,0.9716906573383051,0.0001,1000000.0,-364.6258956147545,-88.4258956147545,0.0,0.0,0.0,0.0,0.0,0.022867562968477972,0.022867562968477972,-88.44876317772297,286.8547051039512,35.66164001424078,35.66160664385203
22.5,22.5,0,272.6,13.56,2.99,2.04,0,12.159627530715975,0.3319099678456592,1.5535269659257016,1.2216169980800424,0.0,0.6533181952993908,0.9017177500000005,2468984.84,0.10116444756297643,0.06675459261646095,0.9716905628687704,0.0001,1000000.0,-363.3758584111401,-90.77585841114006,0.0,0.0,0.0,0.0,0.0,0.02112834468684395,0.02112834468684395,-90.79698675582691,285.8439113958682,35.66160664385203,35.66157583684194
23.5,23.5,0,269.8,12.86,3.1,2.19,0,11.728156876400247,0.35631511254019294,1.4841094597634428,1.12779434722325,0.0,0.677933617105408,0.8785477500000011,2470637.5399999996,0.09718565161645742,0.06670993802288701,0.9716904756557245,0.0001,1000000.0,-362.1590435686353,-92.35904356863529,0.0,0.0,0.0,0.0,0.0,0.019486023103948907,0.019486023103948907,-92.37852959173924,285.1604666272899,35.66157583684194,35.6615474434892
24.5,0.5,0,265.7,11.84,2.41,2.47,0,15.086010919850937,0.401871382636656,1.3878347618327382,0.9859633791960822,0.0,0.7157795945040022,0.8403997499999997,2473045.76,0.09162685817248681,0.06664497674738458,0.9716903952753794,0.0001,1000000.0,-357.88884897010536,-92.18884897010537,0.0,0.0,0.0,0.0,0.0,0.016520823729933597,0.016520823729933597,-92.2053697938353,283.89360964728553,35.6615474434892,35.661523394211024
25.5,1.5,0,271.0,13.15,2.34,2.05,0,15.537301844803743,0.3335369774919614,1.5125305494412045,1.178993571949243,0.0,0.6644594644228374,0.8884439999999998,2469952.85,0.09881753975381834,0.06672843053276017,0.9716903271927416,0.0001,1000000.0,-353.03173787736364,-82.03173787736364,0.0,0.0,0.0,0.0,0.0,0.020126568860961775,0.020126568860961775,-82.0518644462246,285.2968259899117,35.661523394211024,35.661494059380644
26.5,2.5,0,265.7,11.85,2.24,2.31,0,16.23093139144677,0.37583922829581995,1.3887513344053244,1.0129121061095043,0.0,0.7085298111837428,0.8407990000000015,2473022.15,0.0916800117532747,0.06664561300852806,0.9716902441466748,0.0001,1000000.0,-353.37261752286685,-87.67261752286686,0.0,0.0,0.0,0.0,0.0,0.016978961701787407,0.016978961701787407,-87.68959648456864,283.87770846934194,35.661494059380644,35.66146934295741
27.5,3.5,0,262.5,11.04,2.21,2.38,0,16.451260776851022,0.3872282958199357,1.3162085521216036,0.9289802563016679,0.0,0.7312001433307559,0.8068397500000016,2474934.56,0.0874587586385443,0.06659411518760239,0.9716901741749976,0.0001,1000000.0,-353.333425622735,-90.83342562273498,0.0,0.0,0.0,0.0,0.0,0.015418318517059845,0.015418318517059845,-90.84884394125204,283.0104895521209,35.66146934295741,35.66144691571931
28.5,4.5,0,260.0,10.42,2.3,2.3,0,15.807515789930767,0.3742122186495177,1.2629534872576296,0.8887412686081119,0.0,0.7421637903453256,0.7786297500000015,2476398.38,0.08434069351565505,0.06655475084360943,0.971690110683806,0.0001,1000000.0,-347.6821878637076,-87.68218786370761,0.0,0.0,0.0,0.0,0.0,0.014881399968607928,0.014881399968607928,-87.69706926367621,282.47741257384394,35.66144691571931,35.66142528226957
29.5,5.5,99,267.0,12.16,2.19,2.36,0,16.601500601297154,0.3839742765273311,1.4174301091044448,1.0334558325771137,0.39732441471571905,0.7030216475986916,0.8529277500000016,2472290.2399999998,0.09334085439365053,0.06666534313156453,0.971690049439683,3.4725236263930555,287.9750025023472,-344.2565958381104,9.863404161889605,0.0,0.0,0.0,0.0,0.0,59.62031382938072,59.62031382938072,-49.756909667491115,284.66704173728243,35.66142528226957,35.57460977561378
30.5,6.5,301,269.0,12.67,2.29,2.22,0,15.876544243161906,0.36119614147909973,1.465743960150906,1.104547818671806,0.7209580838323353,0.6840843114586758,0.8718360000000012,2471086.13,0.09612896954760887,0.06669782779704972,0.9714432052246453,6.265606529487589,159.60146799734989,-348.3375395838881,185.5424604161119,0.0,0.0,0.0,0.0,0.0,125.42742424133395,125.42742424133395,60.115036174777956,286.6059925292403,35.57460977561378,35.39188092541834
